section,cluster,cluster_name,cluster_short,count,n_section,prop_of_section,prop_of_topic
Academic Recognition and Honors,1,"Advanced Placement, Credit & Electives",AP & Electives,3,4,0.75,0.028
Academic Recognition and Honors,7,Institutional & Transfer Credit,Transfer Credit,1,4,0.25,0.0091
Application Requirements,1,"Advanced Placement, Credit & Electives",AP & Electives,4,4,1.0,0.0374
Education Records,7,Institutional & Transfer Credit,Transfer Credit,3,4,0.75,0.0273
Education Records,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,1,4,0.25,0.0105
Eligibility for Courses,1,"Advanced Placement, Credit & Electives",AP & Electives,3,4,0.75,0.028
Eligibility for Courses,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,1,4,0.25,0.0105
Overview,5,Interdisciplinary Seminars & Learning Goals,Seminars,2,4,0.5,0.0146
Overview,7,Institutional & Transfer Credit,Transfer Credit,2,4,0.5,0.0182
Scholarships and Financial Aid,1,"Advanced Placement, Credit & Electives",AP & Electives,1,4,0.25,0.0093
Scholarships and Financial Aid,7,Institutional & Transfer Credit,Transfer Credit,3,4,0.75,0.0273
Academic Resource Center,5,Interdisciplinary Seminars & Learning Goals,Seminars,3,3,1.0,0.0219
Accommodations,1,"Advanced Placement, Credit & Electives",AP & Electives,1,3,0.3333,0.0093
Accommodations,5,Interdisciplinary Seminars & Learning Goals,Seminars,1,3,0.3333,0.0073
Accommodations,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,1,3,0.3333,0.0105
Application Timelines,1,"Advanced Placement, Credit & Electives",AP & Electives,2,3,0.6667,0.0187
Application Timelines,7,Institutional & Transfer Credit,Transfer Credit,1,3,0.3333,0.0091
Class Attendance and Missed Work,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,3,3,1.0,0.0316
Final Examinations,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,3,3,1.0,0.0316
Progress toward Degree,7,Institutional & Transfer Credit,Transfer Credit,1,3,0.3333,0.0091
Progress toward Degree,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,2,3,0.6667,0.0211
Animating Principles,5,Interdisciplinary Seminars & Learning Goals,Seminars,1,2,0.5,0.0073
Animating Principles,7,Institutional & Transfer Credit,Transfer Credit,1,2,0.5,0.0091
Blue Oasis Student Center,5,Interdisciplinary Seminars & Learning Goals,Seminars,2,2,1.0,0.0146
Campus Programs,7,Institutional & Transfer Credit,Transfer Credit,2,2,1.0,0.0182
Chinese Student Services and Student Mobility,2,China & Asia (DKU Background Info; China & Asia stuides),China & Asia,1,2,0.5,0.0085
Chinese Student Services and Student Mobility,7,Institutional & Transfer Credit,Transfer Credit,1,2,0.5,0.0091
Declaration of Major,7,Institutional & Transfer Credit,Transfer Credit,2,2,1.0,0.0182
Exclusion of Disruptive Students from a Course,5,Interdisciplinary Seminars & Learning Goals,Seminars,1,2,0.5,0.0073
Exclusion of Disruptive Students from a Course,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,1,2,0.5,0.0105
Independent Studies,5,Interdisciplinary Seminars & Learning Goals,Seminars,2,2,1.0,0.0146
International Student Services,2,China & Asia (DKU Background Info; China & Asia stuides),China & Asia,1,2,0.5,0.0085
International Student Services,7,Institutional & Transfer Credit,Transfer Credit,1,2,0.5,0.0091
Principles of Selection,7,Institutional & Transfer Credit,Transfer Credit,2,2,1.0,0.0182
Seven Principles of Duke Kunshan University Academic Advising,5,Interdisciplinary Seminars & Learning Goals,Seminars,2,2,1.0,0.0146
Student Affairs,5,Interdisciplinary Seminars & Learning Goals,Seminars,2,2,1.0,0.0146
Student Affairs Conceptual Framework,6,"History, Religion & Society",History & Religion,1,2,0.5,0.0055
Student Affairs Conceptual Framework,7,Institutional & Transfer Credit,Transfer Credit,1,2,0.5,0.0091
Student Conduct,5,Interdisciplinary Seminars & Learning Goals,Seminars,1,2,0.5,0.0073
Student Conduct,7,Institutional & Transfer Credit,Transfer Credit,1,2,0.5,0.0091
Student Research Opportunities,7,Institutional & Transfer Credit,Transfer Credit,2,2,1.0,0.0182
Tuition and Fees,1,"Advanced Placement, Credit & Electives",AP & Electives,2,2,1.0,0.0187
A 21st Century Curriculum,7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
A Liberal Arts College Experience,7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
Arts and Culture,7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
Campus Engagement,5,Interdisciplinary Seminars & Learning Goals,Seminars,1,1,1.0,0.0073
Campus Health Clinic,5,Interdisciplinary Seminars & Learning Goals,Seminars,1,1,1.0,0.0073
Class Scheduling,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,1,1,1.0,0.0105
Compliance with Academic Regulations,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,1,1,1.0,0.0105
Counseling and Psychological Services (CAPS),7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
Course Audit,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,1,1,1.0,0.0105
Dual Degrees,7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
Duke Kunshan University Community Standard,7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
Graduation and Commencement,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,1,1,1.0,0.0105
Host Family Program,7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
How to Apply,7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
Incomplete Coursework and Excused Absence from Final Exam,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,1,1,1.0,0.0105
Leadership Development,5,Interdisciplinary Seminars & Learning Goals,Seminars,1,1,1.0,0.0073
Mission Statement,7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
Notification and Responses,1,"Advanced Placement, Credit & Electives",AP & Electives,1,1,1.0,0.0093
Notification of Intention to Graduate,7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
Religious Holidays,7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
Residence Life,5,Interdisciplinary Seminars & Learning Goals,Seminars,1,1,1.0,0.0073
Statement on Diversity and Inclusion,7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
Student Clubs and Organizations,7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
Submission of Term Paper,1,"Advanced Placement, Credit & Electives",AP & Electives,1,1,1.0,0.0093
The Provision of Academic Information to Parents and Guardians,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,1,1,1.0,0.0105
Time Limit for Completing Undergraduate Degree,7,Institutional & Transfer Credit,Transfer Credit,1,1,1.0,0.0091
Two-Credit Writing Courses,1,"Advanced Placement, Credit & Electives",AP & Electives,1,1,1.0,0.0093
